bw,red,green,blue
1.415,1.432,1.269,1.276
4.147,1.861,3.469,1.42
7.541,2.465,5.606,1.647
10.34,3.01,7.615,1.794
13.59,3.766,10.25,2.003
16.66,4.37,12.1,2.376
19.85,4.927,14.34,2.379
22.75,5.694,16.48,2.704
25.75,6.284,18.65,2.957
28.85,7.099,21.02,2.987
32.21,7.429,22.99,3.236
35.05,8.19,25.58,3.397
38.12,8.828,27.49,3.595
41.3,9.448,29.89,3.743
44.33,10.05,31.95,4.174
47.55,10.68,34.44,4.449
50.68,11.51,36.62,4.437
53.92,12.2,39.02,4.606
56.91,12.84,41.42,5.001
60.26,13.51,43.59,5.086
