bw,red,green,blue
0.945,0.818,1.049,0.889
3.7,1.255,2.876,1.122
7.119,1.896,5.071,1.248
9.885,2.454,7.1,1.503
13.15,3.067,9.355,1.708
16.24,3.739,11.68,1.801
19.41,4.415,13.73,2.151
22.29,4.969,15.88,2.274
25.3,5.819,18.1,2.414
28.27,6.477,20.42,2.566
31.67,7.002,22.63,2.884
34.58,7.791,24.88,3.072
37.61,8.392,27.19,3.359
41,8.972,29.46,3.49
43.8,9.734,31.63,3.816
46.89,10.27,33.9,3.963
50.02,11.2,36.34,4.131
53.39,11.95,38.55,4.29
56.65,12.4,40.9,4.48
59.89,13.12,43.24,4.827
